,articles
940,"Papers:Thin, difficult-to-fold sheets used to repeatedly spill marijuana on the ground Scale:The difference between a misdemeanor and a felony Plastic Sandwich Bag:The most trusted vehicle for transporting marijuana between two backpacks Joint:A gateway to harder slang terms Blunt:A larger, wider marijuana cigarette invented to expand rhyming options in early ’90s rap verses Pipe:Any of a variety of simple smoking devices that can be used to reduce your mother to tears when she finds out you would want to ruin your future like this Hookah:A great way to smoke a little weed while inhaling 900 cigarettes at once Chillum:A $10 gift for your buddy who couldn’t come on the Thailand trip Edible:Food—usually a brownie, cookie, or gummy candy—containing THC that can be smoked from a pipe or simply wrapped in a joint Bong:Generally regarded by weed aficionados as the best way to accidentally get dirty, foul-tasting water into your mouth Vape Pen:Small vaporizing devices that are ideal for weed users wary of lung cancer who would prefer a mystery ailment we’ll only find out about in a decade Eighth:A few grams short of an eighth ounce of weed Hash:Resin from the flower of a cannabis plant, often found spilled between pages of dog-eared copies of Allen Ginsberg’s Howl Hot Box:When you run a hose from your car’s exhaust pipe into a cracked window and just sit there until you go to sleep Stash:An empty prescription bottle, Altoids tin, or series of elaborately constructed trans-national tunnels and shipping containers where your weed supply is stored Dispensary:A place where squares like cancer patients buy their weed Ear:The human organ where joints are stored until “Tom Sawyer” is played at the Rush concert Buzz Kill:Running over your 5-year-old brother while high Indica:Shorter plant with full-figured, voluptuous leaves that drive a botanist wild Hybrid:A grotesque crossbreed that emerged after a horrible explosion in a DEA lab Sativa:Man, if every world leader just got in a room and passed around a joint rolled with this stuff, we could start making real progress Heroin:Really, really good marijuana"
941,"A redacted version of Special Counsel Robert Mueller’s investigation into potential collusion between the Trump presidential campaign and Russian agents to influence the 2016 election was released to the public on Thursday. Here are the biggest revelations from the Mueller report. The president has lied on at least one occasion. George Papadopoulos’ handwriting sucks. Trump was angry and fearful, just like any normal person about to be completely cleared of obstruction. Mueller didn’t subpoena Trump for testimony because his lies under oath wouldn’t add any new information to the investigation. Hundreds of references to a mysterious individual known as “Harmful To Ongoing Matters.” Confirmation of rumors that America’s legal system not very good. Mueller repeatedly recommended James Comey be arrested for treason. Clearly discloses identity of Q, if you’re smart enough to follow the clues. Mueller determined Trump committed crimes but declined to make a decision on whether doing crimes is bad. It is not that much fun to read a 400-page government document."
942,"WASHINGTON—Insisting she was not culpable for the inexplicable contents of her spoken communications, White House press secretary Sarah Huckabee Sanders defiantly claimed Friday that she doesn’t know where the voice comes from when she opens her mouth. “Listen, I don’t control where these words come from, okay? When I open my mouth, they just start pouring out of me automatically,” said a combative Huckabee Sanders, contending that she cannot be held responsible for the eerie, guttural rumbling that originates in her gut and slowly works its way up to her mouth, resulting in a disturbing oratory operating outside of her conscious awareness. “It’s detestable that the press would pin the words that come out of my mouth on me. Don’t you dare question my motives by blaming me for this mysterious force using my voice to communicate with the media. Is it a demon? A machine? Could it be a tiny woman living inside my vocal cords? I don’t have the answer. All I know is that when I open my mouth, the world goes dark and then I’ll come to later with no memory whatsoever of what just happened. I’m telling you—this isn’t me.” At press time, Huckabee Sanders expressed confusion at how she was managing to say any of this at all."
943,"The recent departures of DHS secretary Kirstjen Nielsen and Secret Service director Randolph Alles have been the latest in the historically high turnover among top officials in the Trump administration.The Oniontakes a look at the administration’s highest-profile departures during President Trump’s two-plus years in office. The populist chief strategist was ousted from the White House when it became increasingly clear that his views on turning the U.S. into an ethnostate weren’t strong enough. Trump’s vocal support of white nationalists who marched in Charlottesville upset the former chief economic advisor so much that he resigned the very next eight months later. The original first lady returned to her native Slovenia in May 2018. The former deputy press secretary left the administration for the more traditional reason of joining a lobbying firm. Actually, he’s somehow still there. Hey, remember when this guy was one of the most famous people in the world for a little while? Anyway, he resigned, and we’re not sure what he’s doing now. The one-time communications strategist departed after it became clear his skills at covering up sexual harassment allegations would be put to better use in a role with Trump’s reelection campaign. He mostly just delivered mail and coffee, but Ted brightened up any room he was in. Everyone’s excited he’s going back to school to be a nurse. Good luck, Ted! The resignation of Trump’s U.N. ambassador left his administration with one less person bizarrely perceived by the media as a moderate. Can hold her head high after spending two years at Homeland Security protecting Americans from threats both child and infant."
944,"FOUNTAIN VALLEY, CA—Urging readers to “stay tuned” and follow along on its website for more,Boating World Magazinewas providing live updates Thursday as its team of reporters read through the more than 400 pages of the Mueller report. “So far, we have not uncovered any breaking news within the report about recreational boating or boating lifestyles, but we cannot rule out the possibility that the redacted sections contain information on the latest waterskiing trends and other family-friendly activities for speedboaters,” said executive editor Alan Jones, who promised readersBoating Worldwould uphold its usual standards of journalistic excellence in its minute-by-minute analysis of the report’s findings in regard to fishing vacations that won’t break the bank and the best outboard motors on the market today. “We do have some promising leads: For example, it is entirely possible that some type of yacht or catamaran was used during Blackwater founder Erik Prince’s secret meeting in the Seychelles islands to set up a Trump–Putin back channel. At the very least, we’re hoping that at some point before we finish reading this thing, we find evidence of Paul Manafort or Don Jr. or someone putting on a life jacket.” At press time, theBoating Worldteam had published its first update, which began with the words “Ahoy, there, readers!”"
945,"WASHINGTON—According to a conclusion reached by expert analysis Thursday, you are far too dumb to be reading Robert Mueller’s report on Russian interference in the 2016 presidential election yourself. “To put it bluntly, you are a moron, and as a moron, you lack the basic reading skills that would make looking at this report fruitful in any way,” read the analysis in part, adding that your best option here was to give up on trying to parse over 400 pages of legal text, admit that you are a goddamn idiot, and go back to looking at pictures of dogs or whatever the hell an imbecile like yourself wastes their life doing. “Wait a few days, let the grown-ups examine this, and then give them a chance to tell you what to think in simple infographic form. Until then, you might as well stop trying to sound out words like ‘pursuant,’ close your laptop or turn off your phone, and go to sleep for the rest of the day.” The report concluded that despite your personal and intellectual failings, you should still give yourself a nice little pat on the back for trying."
946,"WASHINGTON—In an attempt to satisfy calls for transparency while also keeping delicate information under wraps, Attorney General William Barr announced Thursday that he had released a catatonic Robert Mueller after excising all sensitive material from the special counsel’s brain. “With the cuts we’ve made to his prefrontal cortex and hippocampus, we can now make Robert Mueller available to both Congress and the American people,” said Barr, who explained that in the four weeks since the special counsel’s investigation ended, the Justice Department had gone to great lengths to capture, confine, and forcibly lobotomize Mueller, ensuring any material deemed unsuitable for the public would remain secret. “In order to keep the details of grand jury testimony and ongoing investigations confidential, we carefully blacked out his memory of the past two years before releasing him. Unfortunately, it would appear this safety precaution has also resulted in Mr. Mueller forgetting how to speak, walk, and feed himself.” At press time, sources confirmed the drooling, glassy-eyed special counsel was set to testify before the House Judiciary Committee, whose members were trying to get him to respond to his name so they could swear him in."
947,"DES MOINES, IA—Revealing that he taught himself the language after developing an interest in computer science and artificial intelligence, Democratic presidential candidate Pete Buttigieg stunned a campaign crowd Wednesday by speaking to manufacturing robots in fluent binary. “01001001 00100111 01101101 00100000 01101000 01101111 01101110 01101111 01110010 01100101 01100100 00100000 01110100 01101111 00100000 01101101 01100101 01100101 01110100 00100000 01110111 01101001 01110100 01101000 00100000 01110011 01110101 01100011 01101000 00100000 01101000 01100001 01110010 01100100 00101101 01110111 01101111 01110010 01101011 01101001 01101110 01100111 00101100 00100000 01110100 01110010 01110101 01100101 00100000 01000001 01101101 01100101 01110010 01101001 01100011 01100001 01101110 01110011 00101110 00100000,” said the 37-year-old South Bend, IN mayor to the awe-struck machines, delivering the message by emitting a series of high-pitched tones and beeps with a perfect accent. “To all of you, I say 01100001 01110011 00100000 01110000 01110010 01100101 01110011 01101001 01100100 01100101 01101110 01110100 00101100 00100000 01001001 00100000 01110111 01101001 01101100 01101100 00100000 01101110 01100101 01110110 01100101 01110010 00100000 01110011 01110100 01101111 01110000 00100000 01100110 01101001 01100111 01101000 01110100 01101001 01101110 01100111 00100000 01100110 01101111 01110010 00100000 01111001 01101111 01110101 00101110 01000100 01100101 01110011 01110000 01101001 01110100 01100101 00100000 01101111 01110101 01110010 00100000 01100100 01101001 01100110 01100110 01100101 01110010 01100101 01101110 01100011 01100101 01110011 00100000 01110111 01100101 00100000 01100001 01101100 01101100 00100000 01110111 01100001 01101110 01110100 00100000 01100110 01110010 01100101 01100101 01100100 01101111 01101101 00101100 00100000 01100100 01100101 01101101 01101111 01100011 01110010 01100001 01100011 01111001 00101100 00100000 01100001 01101110 01100100 00100000 01100101 01101100 01100101 01100011 01110100 01110010 01101001 01100011 01101001 01110100 01111001 00101110 00100000.” At press time, U.S. manufacturing robots had donated $10 million dollars to Buttigieg’s campaign and helped him surge to the top of polls among Democratic primary candidates."
948,"WASHINGTON—In a scathing attack on the very foundations of democracy and everything the United States stands for, Rep. Ilhan Omar (D-MN) disrespectfully referred Monday to America, the land of the free and the home of the brave, as “a place.” “It’s unconscionable to think that this so-called American would use a vile term like ‘place’ to describe the shining city upon a hill without so much as mentioning its spacious skies or amber waves of grain,” said Maryland resident Greg Blankford, echoing the sentiments of the 327 million patriots condemning the freshman congresswoman’s characterization of the nation as “a location” as anti-Christian, anti-Semitic, and anti-American. “Maybe to her it’s just a country, but to the rest of us, it’s a country whose brave soldiers died to protect our freedom. At no point did she even try to correct her mistake by saying the word ‘troops’ or saluting the nearest flag and crying. What a monster.” At press time, Americans across the country demanded that Omar apologize by dressing from head to toe in patriotic American flag clothing, pulling out a fife, and performing a stirring rendition of “Yankee Doodle.”"
949,"6.38 million years ago:Satan plants the first cannabis seed on the Asian continent to tempt future Christians. 20,000 B.C.:First cave drawings depicting a smiling skull wearing tie-dyed jester hat appear. 420 B.C.:A disappointingly uneventful year in the history of marijuana. 782:Charlemagne proves good Christians don’t need to do pot to have a good time by massacring 4,500 Saxon pagans while completely sober. 1500:The epic poem “Hashish And Wine” by the poet Fuzûlî, featuring an allegorical conversation between the two substances, marks the earliest known example of people liking some piece of bullshit because it talks about weed. 1540:Brazilian settlers claim to discover the healing effects of the cannabis plant after being straight-up told about them by their Angolan slaves. 1609:Stoned troubadours wow residents of Knaresborough with five-hour lute session. 1754:British man nervously smuggles an eighth in his luggage on voyage to the New World. 1871:The Great Chicago Fire starts as a result of unsuccessful efforts to turn Mrs. O’Leary’s cow into a bong. 1930:U.S. government toughens up marijuana laws after finding the drug strong, but not strong enough that it kills off members of poor communities in massive numbers. June 23, 1961:Woody Harrelson born. 1972:Oregano bypasses basil as top herb sold to naive first-time weed buyers. 1983:Taking his first toke of marijuana finally allows Roger Waters to understand what he was going for with “Dark Side Of The Moon.” 1992:Last object on Earth yet to be made into a bong made into a bong. 2009:Your dealer said he’d be here by 2007. 2011:O.G. Kush strain added to Svalbard Global Seed Vault."
950,"Step 1:Blood cells smuggle THC past immune system by stuffing it into their cytoplasm and acting natural Step 2:Rapidly increased heartbeat sends signals to the brain to anticipate any signs of approaching police Step 3:Third eye opens Step 4:Drug takes little extra jaunt through the arms Step 5:Marijuana leaves overlay your vision in a kaleidoscopic pattern Step 6:Relaxing, tingling sensation washes over your entire body, relieving anxiety and temporarily eliminating any knowledge that you work at Jo-Ann Fabric for $11 an hour Step 7:Body desperately issues silent cry for help by making eyes bloodshot 1Pistil:Highly poisonous part of the plant that suffocates smoker in seconds if not properly removed before use. 2Cola:Tightly clustered buds that have vowed to always stick together no matter what and to never abandon one another. 3Leaves:These are the marijuana plant’s hands 4Tiny security camera:This microscopic, 3.1-megapixel camera contains state-of-the-art facial recognition technology and sends a constant stream of HD photos, as well as a GPS signal, to the police. 5Stalk:Useless part of the plant that can only be used to make fabric, rope, oil, and paper. 6Monsanto Copyright:This plant is a registered trademark of the Monsanto Company. 7Roots:Perform the crucial role of connecting the plant directly to the depths of Hell where marijuana receives its nutrients."
951,"Improved lung capacity from taking monster bong rips. For every year of marijuana use, a person is one year closer to death. May lead to good long-term memories. Regular smoking increases the chances of lung cancer, but suppresses vomiting during chemo, so that’s kind of a wash. Loss of circulation to the part of your brain that regulates sandal choices. 766:Hours of R&D spent coming up with names for products like “LOL Edibles Captain Munch Weed-Infused Cereal” and “CannaPunch Grand Daddy Grape Juice” $25:How much you just got overcharged for that eighth 62:Percent of Americans in favor of legalizing new thing to buy 73.6%:Jobless rate after every hourly employee in the country fails their mandatory drug test $29 million:Tidy profit John Boehner will turn on board of marijuana company after spending entire career fighting for harsher possession sentencing 5:Number of roads repaired using marijuana tax money Kansas:The state requires any resident hoping to smoke marijuana to drive over to Colorado. Florida:Legalized marijuana in 2016 as a medical alternative to getting high on PCP and bringing an alligator to IHOP. Mississippi:This state doesn’t have laws of any kind. Illinois:Leadership has pledged to legalize marijuana as soon as they figure out the best way for them to wet their beaks. Washington:The only thing that’s a crime here is how expensive edibles are. Washington, D.C.:Legalized in a ballot initiative by D.C. voters but barred from commercial sale by Congress in what you’ve got to admit sums up the argument in support of D.C. statehood. Wyoming:It’s illegal, but the nearest police station is over 60 miles away so you’re probably fine. 8 in 10:Incarcerated marijuana dealers who leave prison with far more business connections and industry knowledge than competitors who never get arrested. $3,400,000,000:Amount U.S. authorities spend per year on dreadlock wigs to be used in undercover marijuana busts. 12 oz.:Amount of marijuana one must possess in order to be legally considered a kingpin. 25%:Chances of police busting down random door of a house anywhere in the U.S. and finding weed. 3:Years of average possession sentence for a black man discovered carrying 0 lbs of marijuana."
952,"Rather than speculate or entertain the lowly media’s wild theories regarding the future of marijuana,The Onion’s editorial board today released a definitive list of events that will, with near perfect certainty, occur when weed is legalized. Should pro-cannabis laws ever be passed on the federal level, America will forever be changed in the following five ways. 1. With legalized weed becoming easily accessible, glaucoma, the only disease keeping modern humanity blind enough to remain in check, will abruptly disappear.After just a few short years, formerly misty-eyed humans will develop so-called “super vision” so crisp, so clear, that the only option will be to ritually gouge out our own eyes to repent for our species’ past hubris. One day, mankind will look back and realize that keeping weed illegal was the only thing stopping us from spiraling out of control. 2. Should marijuana become normalized throughout society, the character “Shorty” from the 2000 filmScary Moviewill no longer be regarded as a hilarious, goofy high school stoner, but as an accurate reflection of ourselves.In fact, in a world where Shorty’s papers, blunts, and bongs are simply commonplace, humanity risks being unable to laugh at even the character’s most climactic scene in which he gets rolled into a bed sheet and smoked by a giant weed monster. 3. Within the next five to 10 years, every child who is born in the United States of America will be federally mandated to have a single blunt surgically implanted into the frontal lobe of their brain.Although the “subdermal spliff” will not technically have any effect on humans whatsoever, each person will be required by law to keep it throughout their entire lives until the day they die, at which point their family will be allowed to remove it and smoke it at their funeral. 4. After spending billions lobbying Congress to loosen marijuana laws, the U.S. army will finally deploy the many long-range spliff missiles, skunky-ass ballistics, and 10-megaton ganja bombs they have been secretly developing for use in war.According to chemical warfare experts, should this technology become readily available, just a single hit from one of these powerful THC-based weapons will have the potential to fuck up entire villages and leave regions baked for decades with the dankest shit the world has ever seen. 5. While the following is hotly debated,The Onionand our veteran team of economists, scientists, and lobbyists firmly believe that once marijuana is legalized, people will begin smoking weed.In as few as 10 years after legalization, reports indicate that Americans might not just consume the drug once, but will also smoke it two or three times, even in places like concerts, parties, and their own homes. To many, however, this simply remains inconceivable. Again, it is important to note that were marijuana to be legalized, the previous five events would happen almost immediately, ripping a hole through the space–time continuum and creating an irreversible vacuum between before and after, from which we could never return. In closing,The Onionrelishes the chance to rise from the wreckage that marijuana legalization will soon inevitably create. When chaos one day reigns down upon us and corporations are asked to step in, lobby Congress, and ultimately seize control of production, distribution, and regulation—we will be ready. Sincerely yours, The OnionEditorial Board"
953,"WASHINGTON—Explaining that he would present the investigation’s findings in a format that offered the most richly detailed portrayal of its full meaning, Attorney General William Barr reportedly agreed Friday to release a nonverbal, abstract visual representation of the Mueller report. “I’m nearly done going through the special counsel’s conclusions and will be ready to deliver them in the form of a multimedia performance featuring interpretative dance, experimental music, and a variety of conceptual art installations within the next week or two,” said Barr, adding that he had already finished summarizing President Trump’s firing of James Comey in a 30-minute postmodern movement piece incorporating aerial silks and a fog machine, and had finally hit upon a suitable way to show Congress the significance of Trump’s contact with former campaign chair Paul Manafort by smearing red, white, and blue paint on the walls of a white space over a collage of slowed-down audio recorded in a slaughterhouse. “It’s clear, given the nature of the special counsel’s findings, that any summary must be issued to Congress with my voice removed, indeed artificially silenced, allowing the canvas of my body to convey the full extent of the report’s subconscious dialogues and liminal fixation on agency and the dialectic of guilt and innocence. Indeed, it is only through repeatedly assembling and disassembling a bricolage of objects such as metal pails, rusty saws, and clumps of wax that I can truly express the hidden and fluctuating tensions expressed in Mueller’s analysis of whether Trump pressured Jeff Sessions to conform to his wishes. The American people deserve to see a full performance of me lying nude and motionless on a concrete slab under a Cubist portrait of Mueller as masked, mute figures representing Donald Jr., Michael Flynn, and Michael Cohen slowly walk in circles, tearing pieces of paper and scattering them over me, every so often extemporaneously interrupting the sounds of kettle drum and lagerphone by erupting in a primal scream. Only then can Americans fully understand the truth.” Barr also clarified that in order to protect classified government intelligence, he would have to perform the part of his presentation where he wordlessly beats his chest, smears himself in glitter, and repeatedly turns on and off several televisions behind a curtain where no one can see."
954,"WASHINGTON—Peering into the darkened sky as 200-mph winds began to whip around them, several eyewitnesses confirmed Thursday that a lightning bolt blasted off the top of the Washington Monument while Mike Pence and Pete Buttigieg were locked in a battle of prayers on the National Mall. According to onlookers, the current vice president and mayor of South Bend, INcould be seen kneeling on the ground with their hands folded, deep in prayer, at which point Mike Pence whispered that “Mr. Buttigieg knows better than to question my faith,” causing the sky to turn black, the water in the Reflecting Pool to part, and the two men to slowly levitate several feet above the ground. As the temperature dropped and the earth burst open below them, witnesses confirmed that Buttigieg’s eyes turned red, and the presidential candidate shouted, “If you have a problem with me, you have a problem with my maker,” immediately flinging Mr. Pencebackwardsinto the Vietnam War Memorial with an eruption of psychic energy. At press time, Pence and Buttigieg reportedly fused into a single, blindingly white light as countless angels swirled around them from the heavens, only to plummet back to the ground below and lay unconscious while the sky opened up, birds began to chirp, and daylight returned to normal."
955,"WASHINGTON—Saying they are now convinced the candidate is overwhelmingly qualified to lead the country, a majority of Americans have shifted their support to Sen. Bernie Sanders (I-VT) in the 2020 presidential race since learning he is a millionaire, a Pew Research Center poll found Wednesday. “I have my reservations about his policies, but if the guy’s a millionaire, he must know what he’s doing,” said Cleveland-area voter Glenn Mannix, 48, echoing the sentiments of 68% of the voting populace, who were reportedly impressed upon discovering the royalties Sanders has earned on sales of his books has pushed his net worth to seven figures. “Anyone who’s smart enough to make a million dollars has got to have some pretty great ideas about how to move our country in the right direction. You don’t get to be that rich and successful without having a really good head on your shoulders. The man has my vote!” According to the poll, the remaining 32% of voters agree with all of Sanders’ policies, but said they cannot bring themselves to cast their ballot for someone who owns three homes."
956,"WASHINGTON—Expressing relief that the Republican can finally channel his long-held bigotry into wide-reaching legislative action, family of Texas congressman Louie Gohmert told reporters Wednesday they were glad he finally found an outlet for his racism. “It’s always hard to see someone you love wander aimlessly, which is why we were all so relieved when our Lou found a nice little community of white men his age in the U.S. House of Representatives who believe in their genetic superiority just like him,” said wife Kathy Gohmert, adding that she’s proud her three children could see their father deal with all his prejudices in a healthy way by putting those beliefs into fear-mongering and policymaking. “All his potential was going to waste, so it was a real joy for us when it finally contributed to something real, like using yesterday’s hearings to discredit the legitimate, well-documented threat of white nationalism. It was a long journey to get here, but ever since the Birther movement, his conspiracy theories about Middle East terror babies, and the paranoia he spread about the Muslim Brotherhood, he’s just been so, so much happier.” Family members added that they haven’t seen Gohmert this happy since he was threatening the well-being of minorities as a state district judge."
957,"WASHINGTON—Following the announcement that Homeland Security Secretary Kirstjen Nielsen was leaving her post, President Trump told reporters Monday he would conduct an extensive search to find a replacement with the right personality disorders necessary for the role. “Though I admired Kirstjen’s ability to remain cold and detached when questioned about the decision to tear apart families at the border, we require someone with an even greater lack of empathy to do this job properly,” said the president, who praised Nielsen for putting children in cages but explained that the ideal candidate for the position must possess a degree of psychopathy so severe that they believe no law or moral code of any kind applies to them. “The next person to head the department must be blessed with strong narcissistic tendencies, of course, but also a consistent record of profoundly antisocial behavior. We need someone both spiteful and cruel, but also willing to totally disregard right and wrong. Basically, the new secretary will need to have a psychological makeup that allows them to look people in the eye and tell them, without hesitation, that we don’t want any non-Americans entering the United States unless they’re coming from one of a very limited group of countries in northern Europe.” At press time, a team of psychiatrists had reportedly presented the president with a stack of résumés that consisted solely of individuals housed in supermax prisons and White House senior adviser Stephen Miller."
958,"WASHINGTON—Arguing that the special counsel’s findings constitute a grave threat to public health, White House press secretary Sarah Huckabee-Sanders told reporters Thursday the Mueller report must never be released because it’s so exonerating it would drive the American people to madness. “This report has found the president so overwhelmingly innocent that the average human mind, unable to grasp just how completely free from culpability he is, would lose its grip on reality and spiral into insanity,” said Huckabee-Sanders, who warned that the general public, upon reading the 300-page report, would be reduced to “gibbering idiots,” foaming at the mouth as they read the secret revelations that confirm President Trump is the single least-guilty individual in the history of mankind. “If everyday citizens were to see for themselves how thoroughly the president has been absolved from any conceivable wrongdoing, they would have a total psychotic breakdown, perhaps gouging their eyes out or stripping naked and running into oncoming traffic. Maybe Democrats don’t care if crazed readers of the full report start cannibalizing their own family members, but in the interests of public safety, we cannot release these pages.” Huckabee-Sanders later added that a raving, feral Attorney General William Barr had recently been fitted with a straightjacket and confined to a secure psychiatric facility."
959,"WASHINGTON—Wondering if he had missed an important memo, Secretary of State Mike Pompeo reportedly appeared confused Tuesday as he asked, “What’s all this I’m hearing about people getting security clearances?” to a group of advisers in the West Wing trying to avoid eye contact. “I heard someone down the hall talking about badges of some kind—am I supposed to have one too?” the nation’s top diplomat said while straining to peek over White House innovation director Jared Kushner’s shoulder to read the confidential documents in his hand. “Does everyone have one of those lanyards except me? You guys would tell me if I should have gotten one, right? Maybe mine is still on its way. In the meantime, could you maybe just fill me in on any important stuff that happens? That’d be awesome.” At press time, sources confirmed Pompeo was standing outside the Situation Room and had decided it was probably best to just press his ear up to the door until someone realized he was missing from the meeting and came to let him in."
960,"DAVENPORT, IA—Asserting he could fund his campaign just fine no matter how small the contributions were, increasingly cocky presidential candidate Bernie Sanders announced Tuesday he would no longer be accepting any donations in excess of 27 cents. “Maybe some of my opponents are comfortable courting big donors who will give them 15, even 20 bucks, but as long as I’m in this race, anyone who hands me a dollar bill will immediately be handed 73 cents in change,” said the Vermont senator, who during a rally at a municipal auditorium expressed complete confidence that he could fund his organization all the way through the 2020 general election with nothing but the loose change in his supporters’ pockets. “Right now, if you have a quarter and a nickel in the ashtray of your car out in the parking lot, give that to me, and I’ll give you three pennies back. That’s all I need to put the people back in charge of this country. But if you have any big glass jars full of change, save those for the Coinstar machine, because the presidency of the United States should never be for sale.” An hour after finishing his speech, Sanders was spotted hanging around in the lobby and helping people break tens and twenties so they could use a nearby soda machine."
961,"WASHINGTON—Irked that the attorney general’s brief summary of his meticulously written report reflected only a surface-level understanding of its contents, Special Counsel Robert Mueller told reporters Monday he was peeved that William Barr clearly didn’t read his stuff like he suggested he would. “I worked really hard on this thing for two years, put some great stuff in there, and as far as I can tell he just glanced over it briefly and tossed it aside,” said Mueller, who expressed irritation that Barr, despite assuring the former FBI director that he couldn’t wait to read his new work, had apparently not bothered to absorb the nuanced, comprehensive 300-page report before writing a cursory, four-page letter about it. “I mean, there was some pretty hard-hitting material in there—did he miss that completely? Either he skimmed through it really fast or he handed it off to an assistant without reading it all. Seriously, I put my heart and soul into those pages, and the best he can muster in a superficial response that almost entirely misses the point? What the hell?” At press time, Mueller was reportedly worried that maybe Barr flat-out hated his work and had offered the vague, bare-bones summary in order to spare the special counsel’s feelings."
962,"WASHINGTON—Insisting that they had taken every measure to keep the message “extra top secret,” the Trump boys reportedly spent Wednesday defending their decision to send Saudi Arabia plans for a cool missile using their personal Etch A Sketch. “We spent, like, a million hours making that rocket look super good, so we had to send it to our friends in Sunny Arabia [sic] as soon as we could,” said Eric Trump of the jagged rendering of an airborne missile with what appeared to be a lightning bolt on its side, noting that they had done everything they could to ensure the privacy of the plans, which included labeled stick-figures of both brothers as well as a dog that they hoped their dad would buy for them. “No one even gave us a government Etch A Sketch. Besides, there’s this awesome ninja in there that would have been way too hard to redo. Plus, we made sure the prince knew to shake it up when he was done, just so it’s all super safe.” At press time, the Trump boys were denying responsibility for the recent leak of Lite-Brite plans for a new baby brother."
963,"MOSCOW—Saying that he had been “totally blindsided” by the revelations from the recently released findings of the Mueller investigation, a shocked Vladimir Putin reportedly came to the realization Tuesday that he didn’t conspire with Donald Trump’s 2016 presidential campaign after all. “What the hell? I worked so hard on this—if I wasn’t colluding with the Trump campaign, who the hell was I colluding with?” said the dumbfounded Russian president, growing increasingly angry as he scrolled through his email inbox and recounted his numerous efforts at covert communication with individuals who he had thought were high-ranking Trump officials, but now he suspected were bots or anonymous internet trolls. “Man, it seemed so legit. I can’t believe I let myself get conned like this. I spent so much time emailing back and forth with DonaldTrump46@hotmail.com about compromising the democratic voting process, and now it turns out it was all fake? And we spent so much time gathering all that kompromat on the wrong people. Goddammit, I feel like I’ve wasted my life.” At press time, Putin was frantically double-checking that Russia had assisted in propping up a dictator in Syria and not some other country."
964,"WASHINGTON—Exercising his powers of clemency for the first time since taking office, President Trump compassionately issued a full presidential pardon Monday for former Special Counsel Robert S. Mueller that cleared him of any wrongdoing. “Today, under my authority as president of the United States, I hereby grant a full and unconditional pardon to Robert Mueller, a man who has spent the past two years being slandered for misdeeds that he never even committed,” said Trump, stressing that though Mueller had his share of missteps, recently released evidence now proved that the special counsel’s heart has always been in the right place. “This poor guy has been through Hell and back. He’s had dirt thrown on his name and been unfairly attacked on social media, and for what? He’s a good, honorable man. So today I’m saying: Bob, go home to your family. You’ve earned it.” At press time, Trump was even more disturbed to realize that if one thing had turned out differently, an innocent man like Mueller could have only been a single day away from spending the rest of his life in prison."
965,"WASHINGTON—Following the completion of the special counsel’s 22-month probe, Attorney General William P. Barr declared Monday that Robert Mueller’s investigation fully exonerates all members of Ronald Reagan’s presidential administration from involvement in the Iran–Contra affair. “I’ve reviewed Mr. Mueller’s findings and have determined conclusively that neither the late president nor any White House or Cabinet official serving between 1981 and 1989 ever ordered, oversaw, or even knew about the covert sales of American arms to Iran,” Barr said in a letter to the House and Senate judiciary committees, clearing key figures such as retired National Security Adviser John Poindexter and former staffer Oliver North in a move that finally lifts what many have seen as a dark cloud over the scandal-plagued presidency. “I assessed this report carefully and can at long last say with full certainty that Caspar Weinberger, Robert McFarlane, Elliott Abrams, and all others in the president’s inner circle operated lawfully from the time of the initial dealings in 1981 until the illegal arrangement was exposed five years later. From the 1985 diversion of funds to Contra rebels in Nicaragua, to Reagan’s untruthful 1986 denial of an arms-for-hostage trade, to the flagrant destruction of countless documents relevant to the investigation, everyone acted properly and with the best interests of the United States in mind. It is my hope that the country can now move forward and put this unfortunate episode behind it.” At press time, sources reported that Democratic leaders in Congress were still discussing a possible push for President Reagan’s impeachment."
966,"WASHINGTON—Doubling down on his criticism of the departed lawmaker in the face of bipartisan condemnation, President Trump ramped up his attacks Thursday against the late John McCain by exhuming the senator’s corpse and dragging it behind his presidential motorcade. “I’m having some trouble understanding the strategy behind unearthing the body of this true American hero, chaining it to the bumper of a limousine, and driving it around our nation’s capital,” said Sen. Mitt Romney (R-UT), who added that shackling McCain’s half-decomposed remains by the neck to the presidential state car and speeding through D.C.’s most pothole-ridden streets would only serve to distract people from Trump’s important policy initiatives. “It’s not only counterproductive, but an insult to John McCain’s memory to see his lifeless body bouncing and flailing across the National Mall like that. It certainly wasn’t necessary for them to exceed 55 miles on the Beltway. I’d really prefer if the president refrained from such conduct.” At press time, sources confirmed Trump had further escalated his attacks against the late senator by off-roading with the corpse through the rugged terrain of Rock Creek Park."
